time,deltaTime,deltaPress,dv
724.833000,4.800000,4.602780,2.728272
727.233000,7.200000,5.861570,3.206028
729.633000,9.600000,6.846190,3.457760
732.033000,12.000000,7.650630,3.586069
734.433000,14.400000,8.323730,3.662044
736.833000,16.800000,8.906740,3.726863
739.233000,19.200000,9.420160,3.769011
741.633000,21.600000,9.878420,3.795863
744.033000,24.000000,10.291750,3.810797
746.433000,26.400000,10.667720,3.818234
748.833000,28.800000,11.012450,3.873309
751.233000,31.200000,11.339600,3.867256
753.633000,33.600000,11.633300,3.825316
756.033000,36.000000,11.911370,3.820551
758.433000,38.400000,12.167720,3.808140
760.833000,40.800000,12.412110,3.824664
763.233000,43.200000,12.642330,3.810162
765.633000,45.600000,12.859860,3.796744
768.033000,48.000000,13.066160,3.781509
770.433000,50.400000,13.261960,3.765199
772.833000,52.800000,13.448480,3.750667
775.233000,55.200000,13.626460,3.735391
777.633000,57.600000,13.796630,3.718530
780.033000,60.000000,13.959470,3.701898
782.433000,62.400000,14.115720,3.687312
784.833000,64.800000,14.265870,3.673218
787.233000,67.200000,14.410400,3.660954
789.633000,69.600000,14.549800,3.648780
792.033000,72.000000,14.684320,3.637713
794.433000,74.400000,14.814450,3.628618
796.833000,76.800000,14.940430,3.615184
799.233000,79.200000,15.062250,3.605411
801.633000,81.600000,15.180660,3.600280
804.033000,84.000000,15.295650,3.588880
806.433000,86.400000,15.407220,3.583433
808.833000,88.800000,15.516110,3.580731
811.233000,91.200000,15.622070,3.572876
813.633000,93.600000,15.725340,3.568632
816.033000,96.000000,15.826170,3.564339
818.433000,98.400000,15.924560,3.560147
820.833000,100.800000,16.020750,3.561051
823.233000,103.200000,16.114990,3.562894
825.633000,105.600000,16.207270,3.561307
828.033000,108.000000,16.297600,3.561489
830.433000,110.400000,16.386230,3.563161
832.833000,112.800000,16.473140,3.566825
835.233000,115.200000,16.558590,3.573205
837.633000,117.600000,16.642580,3.576611
840.033000,120.000000,16.725090,3.577693
842.433000,122.400000,16.806150,3.581820
844.833000,124.800000,16.885980,3.589073
847.233000,127.200000,16.964600,3.594216
849.633000,129.600000,17.041990,3.602885
852.033000,132.000000,17.118410,3.609655
854.433000,134.400000,17.193600,3.620343
856.833000,136.800000,17.268060,3.629831
859.233000,139.200000,17.341310,3.631162
861.633000,141.600000,17.413570,3.642800
864.033000,144.000000,17.485100,3.659900
866.433000,146.400000,17.555910,3.668948
868.833000,148.800000,17.625730,3.669924
871.233000,151.200000,17.694580,3.682685
