Time,Pressure,deltaTime,deltaPress,Sum_1,Sum_2,Sn
4.8,3640.97363,2.4,-2.84619,6.58262468212,0.875468737354,7.45809341948
7.2,3638.12744,4.8,-4.60278,6.58594128349,1.56861591791,8.15455720141
9.6,3636.37085,7.2,-5.86157,6.58924692137,1.97408102602,8.56332794739
12.0,3635.11206,9.6,-6.84619,6.592541668,2.26176309847,8.85430476647
14.4,3634.12744,12.0,-7.65063,6.59582559491,2.48490664979,9.0807322447
16.8,3633.323,14.4,-8.32373,6.59909877294,2.66722820658,9.26632697952
19.2,3632.6499,16.8,-8.90674,6.60236127221,2.82137888641,9.42374015862
21.6,3632.06689,19.2,-9.42016,6.60561316219,2.95491027903,9.56052344122
24.0,3631.55347,21.6,-9.87842,6.60885451164,3.07269331469,9.68154782633
26.4,3631.09521,24.0,-10.29175,6.61208538869,3.17805383035,9.79013921904
28.8,3630.68188,26.4,-10.66772,6.61530586077,3.27336401015,9.88866987093
31.2,3630.30591,28.8,-11.01245,6.61851599471,3.36037538714,9.97889138185
33.6,3629.96118,31.2,-11.3396,6.62171585664,3.44041809482,10.0621339515
36.0,3629.63403,33.6,-11.6333,6.62490551211,3.51452606697,10.1394315791
38.4,3629.34033,36.0,-11.91137,6.62808502602,3.58351893846,10.2116039645
40.8,3629.06226,38.4,-12.16772,6.63125446265,3.64805745959,10.2793119222
43.2,3628.80591,40.8,-12.41211,6.63441388568,3.70868208141,10.3430959671
45.6,3628.56152,43.2,-12.64233,6.63756335819,3.76584049525,10.4034038534
48.0,3628.3313,45.6,-12.85986,6.64070294266,3.81990771652,10.4606106592
50.4,3628.11377,48.0,-13.06616,6.64383270097,3.87120101091,10.5150337119
52.8,3627.90747,50.4,-13.26196,6.64695269446,3.91999117508,10.5669438695
55.2,3627.71167,52.8,-13.44848,6.65006298385,3.96651119071,10.6165741746
57.6,3627.52515,55.2,-13.62646,6.65316362933,4.01096295328,10.6641265826
60.0,3627.34717,57.6,-13.79663,6.65625469052,4.0535225677,10.7097772582
62.4,3627.177,60.0,-13.95947,6.65933622648,4.09434456222,10.7536807887
64.8,3627.01416,62.4,-14.11572,6.66240829575,4.13356527538,10.7959735711
67.2,3626.85791,64.8,-14.26587,6.6654709563,4.17130560336,10.8367765597
69.6,3626.70776,67.2,-14.4104,6.66852426559,4.20767324753,10.8761975131
72.0,3626.56323,69.6,-14.5498,6.67156828056,4.24276456734,10.9143328479
74.4,3626.42383,72.0,-14.68432,6.67460305761,4.27666611902,10.9512691766
76.8,3626.28931,74.4,-14.81445,6.67762865265,4.30945594184,10.9870845945
79.2,3626.15918,76.8,-14.94043,6.68064512108,4.34120464015,11.0218497612
81.6,3626.0332,79.2,-15.06225,6.68365251777,4.37197629882,11.0556288166
84.0,3625.91138,81.6,-15.18066,6.68665089715,4.40182926197,11.0884801591
86.4,3625.79297,84.0,-15.29565,6.68964031311,4.43081679884,11.120457112
88.8,3625.67798,86.4,-15.40722,6.6926208191,4.45898767581,11.1516084949
91.2,3625.56641,88.8,-15.51611,6.69559246806,4.48638665,11.1819791181
93.6,3625.45752,91.2,-15.62207,6.69855531248,4.51305489708,11.2116102096
96.0,3625.35156,93.6,-15.72534,6.70150940438,4.53903038348,11.2405397879
98.4,3625.24829,96.0,-15.82617,6.70445479532,4.56434819147,11.2688029868
100.8,3625.14746,98.4,-15.92456,6.70739153641,4.58904080406,11.2964323405
103.2,3625.04907,100.8,-16.02075,6.71031967829,4.61313835564,11.3234580339
105.6,3624.95288,103.2,-16.11499,6.71323927118,4.63666885305,11.3499081242
108.0,3624.85864,105.6,-16.20727,6.71615036486,4.65965837127,11.3758087361
110.4,3624.76636,108.0,-16.2976,6.71905300866,4.68213122712,11.4011842358
112.8,3624.67603,110.4,-16.38623,6.72194725151,4.70411013384,11.4260573853
115.2,3624.5874,112.8,-16.47314,6.72483314188,4.72561633906,11.4504494809
117.6,3624.50049,115.2,-16.55859,6.72771072784,4.74666974826,11.4743804761
120.0,3624.41504,117.6,-16.64258,6.73058005706,4.76728903546,11.4978690925
122.4,3624.33105,120.0,-16.72509,6.73344117678,4.78749174278,11.5209329196
124.8,3624.24854,122.4,-16.80615,6.73629413384,4.80729437008,11.5435885039
127.2,3624.16748,124.8,-16.88598,6.73913897469,4.82671245594,11.5658514306
129.6,3624.08765,127.2,-16.9646,6.74197574537,4.84576065091,11.5877363963
132.0,3624.00903,129.6,-17.04199,6.74480449154,4.86445278392,11.6092572755
134.4,3623.93164,132.0,-17.11841,6.74762525847,4.88280192259,11.6304271811
